mode,auc_mean,auc_std,best_attack_acc_mean,best_attack_acc_std,mean_member_loss_mean,mean_member_loss_std,mean_nonmember_loss_mean,mean_nonmember_loss_std
ckks_like,0.5163368055555556,0.017026109005921334,0.6905172413793104,0.002471932548000757,0.6869153678417206,0.01522330772142165,0.6924011409282684,0.015554030780427901
mask,0.5441944444444445,0.020376761676219924,0.6905172413793104,0.00233449379443561,0.6602600634098053,0.009715492078850635,0.6876854836940766,0.018088539188551637
none,0.5514333333333334,0.017496406830314577,0.6912068965517242,0.002218420582255035,0.654618090391159,0.008580327629978143,0.6872927904129028,0.01894464998652349
