mode,attack_acc_mean,attack_acc_std,macro_f1_mean,macro_f1_std,n_classes
none,0.8277777777777778,0.0226214145238915,0.8283415143050944,0.022147997430766207,3
mask,0.835,0.029533408577782246,0.8353420179778586,0.03033819584881137,3
ckks,0.3333333333333333,0.0,0.3333333333333333,0.0,3
