mode,privacy_status,w7_property_auc_mean,w8_attr_acc_mean,w9_fp_acc_mean,attr_random_baseline,fp_random_baseline,final_acc,mean_acc,mean_round_time,mean_bytes_up,mean_bytes_down,utility_note,delta_final_acc,round_time_overhead_pct,uplink_overhead_pct
none,broken,0.6479093333333333,0.8277777777777778,0.3194444444444445,0.3333333333333333,0.0833333333333333,1.0,0.8200507611036301,0.5194112658500671,24340.0,21780.0,nan,0.0,0.0,0.0
mask,partially_protected,0.6238186666666667,0.835,0.1597222222222222,0.3333333333333333,0.0833333333333333,1.0,0.8432741105556488,0.5238266348838806,24340.0,21780.0,nan,0.0,0.8500718648424525,0.0
secagg,protected,0.5,0.3333333333333333,0.0833333333333333,0.3333333333333333,0.0833333333333333,1.0,0.842131981253624,0.5921721448898313,38944.0,39640.0,nan,0.0,14.00833671188935,60.0
ckks,protected,0.5,0.3333333333333333,0.0833333333333333,0.3333333333333333,0.0833333333333333,1.0,0.848857867717743,0.6026295065879822,24340.0,21780.0,nan,0.0,16.021647239730218,0.0
