variant,final_acc,mean_acc,mean_round_time_sec,uplink_kb,downlink_kb,pareto,rank_acc_utility,rank_lat_utility
ckks_baseline,0.9903308153152466,0.8767557203769684,0.6435832023620606,23.76953125,21.26953125,True,4,3
ckks_clip,0.998218834400177,0.9034732788801192,1.531947422027588,23.76953125,21.26953125,True,1,1
ckks_clip_quant,0.9989821910858154,0.8934351116418838,1.7177322030067443,23.76953125,21.26953125,True,3,2
ckks_clip_quant_comp,0.9987277388572692,0.9000381678342819,2.0841394901275634,23.76953125,21.26953125,False,2,4
ckks_quant,0.9860050678253174,0.8785114467144013,2.158087861537933,23.76953125,21.26953125,False,5,5
