round,acc,bytes_up,bytes_down,round_time,agg_time,active_clients,seed,secure_mode,num_clients,dropout_prob,avg_train_loss,avg_train_accuracy,avg_train_time,avg_sec_time,avg_client_bytes_up
1,0.682741105556488,38944,39640,8.455790828704833,0.024997066497802735,8,42,secagg,8,0.0,0.4923801969268195,0.7978875562548637,0.031129568815231323,0.0012504756450653076,4868.0
2,0.682741105556488,38944,39640,0.152542423248291,0.02508933448791504,8,42,secagg,8,0.0,0.45761653701887195,0.7997935190796852,0.03195631504058838,0.0006243288516998291,4868.0
3,0.682741105556488,38944,39640,0.4290600528717041,0.025082897186279297,8,42,secagg,8,0.0,0.4341025145740983,0.7997935190796852,0.035390645265579224,0.0006239712238311768,4868.0
4,0.682741105556488,38944,39640,0.16044957542419433,0.02500874900817871,8,42,secagg,8,0.0,0.406903449718141,0.805114358663559,0.03455919027328491,0.0007547438144683838,4868.0
5,0.682741105556488,38944,39640,0.1575163116455078,0.02499945068359375,8,42,secagg,8,0.0,0.37957457432658276,0.8140883147716522,0.041188985109329224,0.0005000829696655273,4868.0
6,0.682741105556488,38944,39640,0.16053445243835449,0.025006603240966797,8,42,secagg,8,0.0,0.34985600866192745,0.8318773880600929,0.0390034019947052,0.0004996061325073242,4868.0
7,0.682741105556488,38944,39640,0.16816861534118652,0.02501447105407715,8,42,secagg,8,0.0,0.32026922428244403,0.8360069990158081,0.04641416668891907,0.0004997849464416504,4868.0
8,0.720812201499939,38944,39640,0.1725006809234619,0.024999927520751954,8,42,secagg,8,0.0,0.2929340868281837,0.8464104309678078,0.03812649846076965,0.0007502734661102295,4868.0
9,0.8350253701210022,38944,39640,0.1644259204864502,0.024998973846435547,8,42,secagg,8,0.0,0.2664052767956007,0.8608640432357788,0.03998178243637085,0.0007500946521759033,4868.0
10,0.9060913920402527,38944,39640,0.39613730812072756,0.025076698303222657,8,42,secagg,8,0.0,0.2405325834103298,0.8729351982474327,0.03374922275543213,0.0002499818801879883,4868.0
11,0.9162436723709106,38944,39640,0.1529856433868408,0.02499921226501465,8,42,secagg,8,0.0,0.2172980742455665,0.8847681060433388,0.038510292768478394,0.0005033314228057861,4868.0
12,0.9162436723709106,38944,39640,0.15554411315917968,0.025013517379760743,8,42,secagg,8,0.0,0.19582921466192532,0.8955686241388321,0.03601193428039551,0.000387042760848999,4868.0
13,0.9162436723709106,38944,39640,0.1391154041290283,0.024992298126220704,8,42,secagg,8,0.0,0.17670579507220371,0.9149460047483444,0.03243747353553772,0.0006271600723266602,4868.0
14,0.9340101480484009,38944,39640,0.13652689361572265,0.02500851058959961,8,42,secagg,8,0.0,0.16107312788351957,0.9405972063541412,0.03525686264038086,0.0003768801689147949,4868.0
15,0.9619289636611938,38944,39640,0.1415222396850586,0.025006364822387696,8,42,secagg,8,0.0,0.1458645820688087,0.9646600931882858,0.033068835735321045,0.0004875659942626953,4868.0
16,0.9771573543548584,38944,39640,0.12760383987426757,0.02507097625732422,8,42,secagg,8,0.0,0.13321421899728647,0.9765724390745163,0.031071960926055908,0.0,4868.0
17,0.989847719669342,38944,39640,0.13843448066711425,0.024999927520751954,8,42,secagg,8,0.0,0.12235970527754346,0.9824491664767265,0.03433901071548462,0.00012493133544921875,4868.0
18,0.9923858046531677,38944,39640,0.14655072593688964,0.025011133193969727,8,42,secagg,8,0.0,0.11253830980511886,0.9872141107916832,0.032473236322402954,0.00025132298469543457,4868.0
19,0.9974619150161743,38944,39640,0.15052087211608886,0.025000165939331055,8,42,secagg,8,0.0,0.10450059596598243,0.9878494292497635,0.03425300121307373,0.0006185173988342285,4868.0
20,1.0,38944,39640,0.1375125160217285,0.024998258590698243,8,42,secagg,8,0.0,0.0957741316177455,0.9907878115773201,0.036610573530197144,0.0005012452602386475,4868.0
