mode,rounds,mean_round_time_s,total_round_time_s,overhead_vs_none
none,20,0.5815239191055298,11.630478382110596,1.0
mask,20,0.5960606813430787,11.921213626861572,1.024997703034999
ckks,20,0.569724440574646,11.39448881149292,0.9797093840111802
