mode,rounds,final_acc,mean_acc,total_bytes_up,total_bytes_down,avg_bytes_up_per_round,avg_bytes_down_per_round,mean_round_time_s,total_round_time_s,overhead_vs_none,MIA_auc,MIA_attack_acc,MIA_auc_std,MIA_attack_acc_std,mean_train_loss,mean_nontrain_loss
none,20,0.9949238300323486,0.8067258894443512,435600,435600,21780.0,21780.0,0.5815239191055298,11.630478382110596,1.0,0.5514333333333334,0.6912068965517242,0.0174964068303145,0.002218420582255,0.654618090391159,0.6872927904129028
mask,20,1.0,0.8527918756008148,435600,435600,21780.0,21780.0,0.5960606813430787,11.921213626861572,1.024997703034999,0.5441944444444445,0.6905172413793104,0.0203767616762199,0.0023344937944356,0.6602600634098053,0.6876854836940766
ckks_like,20,1.0,0.8201776593923569,435600,435600,21780.0,21780.0,0.569724440574646,11.39448881149292,0.9797093840111802,0.5163368055555556,0.6905172413793104,0.0170261090059213,0.0024719325480007,0.6869153678417206,0.6924011409282684
