round,acc,bytes_up,bytes_down,round_time,agg_time,active_clients,seed,secure_mode,num_clients,dropout_prob,avg_train_loss,avg_train_accuracy,avg_train_time,avg_sec_time,avg_client_bytes_up
1,0.6091370582580566,21780,21780,8.700830221176147,0.0009984970092773438,5,42,none,8,0.3,0.5390612460455113,0.7514612436294555,0.05813188552856445,0.0,4356.0
2,0.682741105556488,21780,21780,0.16587471961975098,0.0009975433349609375,5,42,none,8,0.3,0.47769682393746576,0.8072426915168762,0.04337687492370605,0.0,4356.0
3,0.682741105556488,21780,21780,0.12604475021362305,0.0010001659393310547,5,42,none,8,0.3,0.4707461679299874,0.7881829738616943,0.03812699317932129,0.0,4356.0
4,0.682741105556488,21780,21780,0.1436767578125,0.0009999275207519531,5,42,none,8,0.3,0.42201858608210707,0.8104193210601807,0.03360004425048828,0.0,4356.0
5,0.682741105556488,21780,21780,0.13498473167419434,0.0020036697387695312,5,42,none,8,0.3,0.4382637934808961,0.7782719135284424,0.03425884246826172,0.0,4356.0
6,0.682741105556488,21780,21780,0.13120341300964355,0.00099945068359375,5,42,none,8,0.3,0.3749936675972375,0.8072426915168762,0.02960491180419922,0.00020022392272949218,4356.0
7,0.682741105556488,21780,21780,0.1080312728881836,0.0010008811950683594,5,42,none,8,0.3,0.37585269781125397,0.7753494143486023,0.030702638626098632,0.0,4356.0
8,0.682741105556488,21780,21780,0.11406230926513672,0.0010137557983398438,5,42,none,8,0.3,0.30503034749585456,0.8493011474609375,0.028220701217651366,0.0,4356.0
9,0.682741105556488,21780,21780,0.10300207138061523,0.0,5,42,none,8,0.3,0.2968272358974326,0.8393900990486145,0.028661775588989257,0.0,4356.0
10,0.913705587387085,21780,21780,0.10612130165100098,0.001016855239868164,5,42,none,8,0.3,0.2586602040250541,0.8772553920745849,0.028209877014160157,0.0,4356.0
11,0.8654822111129761,21780,21780,0.09852957725524902,0.0009961128234863281,5,42,none,8,0.3,0.24003184511973563,0.8856416821479798,0.02740139961242676,0.0,4356.0
12,0.8883248567581177,21780,21780,0.35866332054138184,0.0010075569152832031,5,42,none,8,0.3,0.21441621959228377,0.9012706518173218,0.029697895050048828,0.0,4356.0
13,0.9263959527015686,21780,21780,0.09807443618774414,0.0009930133819580078,5,42,none,8,0.3,0.20456577530355588,0.9334180474281311,0.029437160491943358,0.0,4356.0
14,0.9746192693710327,21780,21780,0.10803079605102539,0.0009937286376953125,5,42,none,8,0.3,0.17695113092736642,0.9534942746162415,0.031605768203735354,0.0,4356.0
15,0.989847719669342,21780,21780,0.10059762001037598,0.0010073184967041016,5,42,none,8,0.3,0.14370941590124875,0.9709021568298339,0.030234098434448242,0.0,4356.0
16,0.9923858046531677,21780,21780,0.10811233520507812,0.0010080337524414062,5,42,none,8,0.3,0.1307538342672806,0.9819567918777465,0.03175473213195801,0.0,4356.0
17,1.0,21780,21780,0.09804582595825195,0.0015168190002441406,5,42,none,8,0.3,0.1382334782594041,0.9884371042251587,0.0275022029876709,0.0,4356.0
18,0.9974619150161743,21780,21780,0.10352611541748047,0.0,5,42,none,8,0.3,0.12463777342946132,0.9890724301338196,0.030563545227050782,0.0,4356.0
19,1.0,21780,21780,0.09670734405517578,0.0,5,42,none,8,0.3,0.10805459145830501,0.989326560497284,0.027845001220703124,0.0,4356.0
20,1.0,21780,21780,0.09805583953857422,0.0010120868682861328,5,42,none,8,0.3,0.10256897922808818,0.9937738180160522,0.028499078750610352,0.0,4356.0
21,1.0,21780,21780,0.09952688217163086,0.0010094642639160156,5,42,none,8,0.3,0.09319034440672497,0.9881829619407654,0.02860250473022461,0.0,4356.0
22,1.0,21780,21780,0.09843134880065918,0.0010068416595458984,5,42,none,8,0.3,0.08827788182114177,0.9960609912872315,0.02868657112121582,0.0,4356.0
23,1.0,21780,21780,0.10593605041503906,0.0009996891021728516,5,42,none,8,0.3,0.07612375157448585,0.9954256653785706,0.0308197021484375,0.00020003318786621094,4356.0
24,1.0,21780,21780,0.10431647300720215,0.0010075569152832031,5,42,none,8,0.3,0.08006064531877354,0.9921219825744629,0.027611303329467773,0.0,4356.0
25,1.0,21780,21780,0.11152458190917969,0.0,5,42,none,8,0.3,0.07060250945891025,0.990088939666748,0.03040904998779297,0.0,4356.0
26,1.0,21780,21780,0.11130499839782715,0.0009887218475341797,5,42,none,8,0.3,0.07155243141027558,0.9913595914840698,0.02990279197692871,0.0,4356.0
27,1.0,21780,21780,0.09701299667358398,0.0020055770874023438,5,42,none,8,0.3,0.06750494662324366,0.9907242774963378,0.028899002075195312,0.0,4356.0
28,1.0,21780,21780,0.10052657127380371,0.0,5,42,none,8,0.3,0.05331202681913612,0.9972045660018921,0.0272005558013916,0.0,4356.0
29,1.0,21780,21780,0.09951233863830566,0.0,5,42,none,8,0.3,0.06181969286576908,0.9925031781196594,0.028600072860717772,0.00020241737365722656,4356.0
30,1.0,21780,21780,0.10216903686523438,0.0010030269622802734,5,42,none,8,0.3,0.05374907325158012,0.9922490596771241,0.028102731704711913,0.0,4356.0
31,1.0,21780,21780,0.10312604904174805,0.0,5,42,none,8,0.3,0.05274171697519,0.9928843736648559,0.029601526260375977,0.0,4356.0
32,1.0,21780,21780,0.1010122299194336,0.0010089874267578125,5,42,none,8,0.3,0.051922776016526236,0.9941550254821777,0.028207731246948243,0.00021562576293945312,4356.0
33,1.0,21780,21780,0.10031008720397949,0.0,5,42,none,8,0.3,0.049648199250254176,0.9928843736648559,0.02799997329711914,0.0,4356.0
34,1.0,21780,21780,0.10552716255187988,0.0,5,42,none,8,0.3,0.04397821543404532,0.9939008951187134,0.028223514556884766,0.0,4356.0
35,1.0,21780,21780,0.10251235961914062,0.0,5,42,none,8,0.3,0.04252465525559201,0.993646764755249,0.02910442352294922,0.00020022392272949218,4356.0
36,1.0,21780,21780,0.09601283073425293,0.0,5,42,none,8,0.3,0.04188988683703847,0.9927573084831238,0.02783522605895996,0.0,4356.0
37,1.0,21780,21780,0.10554313659667969,0.0020089149475097656,5,42,none,8,0.3,0.042488183264751955,0.9933926343917847,0.031006813049316406,0.0,4356.0
38,1.0,21780,21780,0.09470200538635254,0.0,5,42,none,8,0.3,0.03251440211884403,0.9959339261054992,0.028002500534057617,0.0,4356.0
39,1.0,21780,21780,0.09354233741760254,0.0,5,42,none,8,0.3,0.035980123483482396,0.9959339261054992,0.026416683197021486,0.0,4356.0
40,1.0,21780,21780,0.10799121856689453,0.0,5,42,none,8,0.3,0.029735524889963342,0.9963151216506958,0.03140139579772949,0.0,4356.0
41,1.0,21780,21780,0.10552692413330078,0.0,5,42,none,8,0.3,0.029397923012975287,0.996442186832428,0.029323053359985352,0.0,4356.0
42,1.0,21780,21780,0.09963154792785645,0.0010006427764892578,5,42,none,8,0.3,0.04041080730227609,0.9883100390434265,0.028173160552978516,0.00020003318786621094,4356.0
43,1.0,21780,21780,0.09702038764953613,0.0,5,42,none,8,0.3,0.027023931045258475,0.996442186832428,0.02740006446838379,0.0,4356.0
44,1.0,21780,21780,0.10913586616516113,0.0,5,42,none,8,0.3,0.028291373426364463,0.9973316431045532,0.031032752990722657,0.0,4356.0
45,1.0,21780,21780,0.10252189636230469,0.0009999275207519531,5,42,none,8,0.3,0.03225740642773725,0.9941550135612488,0.027014493942260742,0.0,4356.0
46,1.0,21780,21780,0.09752392768859863,0.0010001659393310547,5,42,none,8,0.3,0.025553565352077222,0.9963151216506958,0.026823139190673827,0.0,4356.0
47,1.0,21780,21780,0.1025550365447998,0.001007080078125,5,42,none,8,0.3,0.024839834648680316,0.9941550254821777,0.026644420623779298,0.0,4356.0
48,1.0,21780,21780,0.09752559661865234,0.0010075569152832031,5,42,none,8,0.3,0.020234609186124786,0.9979669570922851,0.027000951766967773,0.0,4356.0
49,1.0,21780,21780,0.1030876636505127,0.0010073184967041016,5,42,none,8,0.3,0.019954104925738944,0.9973316431045532,0.029597139358520506,0.0,4356.0
50,1.0,21780,21780,0.09904289245605469,0.0010085105895996094,5,42,none,8,0.3,0.024717657723073442,0.9954256653785706,0.02906522750854492,0.0,4356.0
