round,acc,bytes_up,bytes_down,round_time,agg_time,active_clients,seed,secure_mode,num_clients,dropout_prob,avg_train_loss,avg_train_accuracy,avg_train_time,avg_sec_time,avg_client_bytes_up,variant
18,0.996437668800354,24340,21780,0.6943542957305908,0.0668513774871826,5,42,ckks,10,0.5,0.0902587070894277,0.9919949173927308,0.1582594394683837,0.0004017829895019,4868.0,ckks_clip
19,0.996437668800354,24340,21780,0.6726493835449219,0.0571815967559814,5,42,ckks,10,0.5,0.0796322458439058,0.991486656665802,0.1580531597137451,0.0004016399383544,4868.0,ckks_clip
20,0.998218834400177,24340,21780,0.6891541481018066,0.0590062141418457,5,42,ckks,10,0.5,0.0883382422056669,0.9923761010169982,0.1590897560119629,0.0,4868.0,ckks_clip
1,0.805343508720398,24340,21780,31.154716968536377,0.5578787326812744,5,42,ckks,10,0.5,0.4992871153271334,0.7997458696365356,0.1711708545684814,0.0001967906951904,4868.0,ckks_quant
2,0.8061068654060364,24340,21780,0.730379581451416,0.0599510669708251,5,42,ckks,10,0.5,0.4526067303959872,0.8163913488388062,0.1567239284515381,0.0,4868.0,ckks_quant
3,0.8061068654060364,24340,21780,0.6888952255249023,0.0601725578308105,5,42,ckks,10,0.5,0.4471724629780843,0.7980940222740174,0.1570117950439453,0.0003966808319091,4868.0,ckks_quant
4,0.8061068654060364,24340,21780,0.7380659580230713,0.0619966983795166,5,42,ckks,10,0.5,0.4241154264275273,0.7909783959388733,0.1624536037445068,0.0,4868.0,ckks_quant
5,0.8061068654060364,24340,21780,0.6362957954406738,0.0598561763763427,5,42,ckks,10,0.5,0.3676976792732067,0.8449809551239014,0.1571835994720459,0.0002752304077148,4868.0,ckks_quant
6,0.8061068654060364,24340,21780,0.6438226699829102,0.0605120658874511,5,42,ckks,10,0.5,0.3285205637068124,0.8498094081878662,0.1604481220245361,0.0,4868.0,ckks_quant
7,0.8061068654060364,24340,21780,0.6414923667907715,0.0609898567199707,5,42,ckks,10,0.5,0.3439816661983766,0.8324015259742736,0.1622321128845215,0.0,4868.0,ckks_quant
8,0.8503816723823547,24340,21780,0.6581659317016602,0.0720095634460449,5,42,ckks,10,0.5,0.3077746913821603,0.8686150074005127,0.1622138977050781,0.0001760482788085,4868.0,ckks_quant
9,0.8061068654060364,24340,21780,0.6614217758178711,0.0601217746734619,5,42,ckks,10,0.5,0.285538071092914,0.838246512413025,0.1591528415679931,0.000616455078125,4868.0,ckks_quant
10,0.8061068654060364,24340,21780,0.6399738788604736,0.0629863739013671,5,42,ckks,10,0.5,0.248639903485472,0.8748411774635315,0.1634776592254638,0.0002026557922363,4868.0,ckks_quant
11,0.8877862691879272,24340,21780,1.53434157371521,0.0561742782592773,5,42,ckks,10,0.5,0.2426129414703521,0.8649301052093505,0.3649334907531738,0.0,4868.0,ckks_quant
12,0.8765903115272522,24340,21780,0.6360468864440918,0.0640633106231689,5,42,ckks,10,0.5,0.2026880528706834,0.9010165214538576,0.1654366493225097,0.0001995086669921,4868.0,ckks_quant
13,0.9119592905044556,24340,21780,0.6926729679107666,0.0700206756591796,5,42,ckks,10,0.5,0.2135527870943237,0.8970775127410888,0.1619946479797363,0.0,4868.0,ckks_quant
14,0.9188295006752014,24340,21780,0.734227180480957,0.0620920658111572,5,42,ckks,10,0.5,0.1814857367411956,0.9265565514564514,0.1596405506134033,0.0,4868.0,ckks_quant
15,0.9661577343940736,24340,21780,0.6541008949279785,0.0619943141937255,5,42,ckks,10,0.5,0.1850228487735252,0.9634053349494934,0.1562906742095947,0.0001994609832763,4868.0,ckks_quant
16,0.969465672969818,24340,21780,0.6714117527008057,0.0590801239013671,5,42,ckks,10,0.5,0.1576342612864707,0.9743329167366028,0.1601717948913574,0.0,4868.0,ckks_quant
17,0.9720101952552797,24340,21780,0.5421404838562012,0.0150022506713867,5,42,ckks,10,0.5,0.1300445046290054,0.9797966957092286,0.1388563156127929,0.0001999855041503,4868.0,ckks_quant
18,0.9931297898292542,24340,21780,0.2200829982757568,0.0129847526550292,5,42,ckks,10,0.5,0.1329523582981835,0.983608627319336,0.0342090129852294,0.0002055644989013,4868.0,ckks_quant
19,0.983714997768402,24340,21780,0.1418898105621338,0.0131285190582275,5,42,ckks,10,0.5,0.1181362026924885,0.9903430700302124,0.028038740158081,0.0,4868.0,ckks_quant
20,0.9860050678253174,24340,21780,0.1416125297546386,0.0129907131195068,5,42,ckks,10,0.5,0.1063650004447377,0.9872935175895692,0.0276151180267333,0.0,4868.0,ckks_quant
1,0.8055979609489441,24340,21780,19.59849500656128,0.5878024101257324,5,42,ckks,10,0.5,0.5023193625399542,0.7958068609237671,0.1611143589019775,0.0,4868.0,ckks_clip_quant
2,0.8061068654060364,24340,21780,1.0454497337341309,0.0553181171417236,5,42,ckks,10,0.5,0.4620840330590438,0.782973313331604,0.1568776130676269,0.0001990318298339,4868.0,ckks_clip_quant
3,0.8061068654060364,24340,21780,0.7884438037872314,0.0967586040496826,5,42,ckks,10,0.5,0.4503780825241094,0.7814485311508179,0.1637613296508789,0.0,4868.0,ckks_clip_quant
