mode,final_acc,mean_round_time,total_comm,acc_per_sec,acc_per_mb
none,1.0,0.5194112658500671,46120.0,1.9252566622008143,21.682567215958368
mask,1.0,0.5238266348838806,46120.0,1.9090285476256381,21.682567215958368
secagg,1.0,0.5921721448898313,78584.0,1.6886981406159212,12.725236689402422
ckks,1.0,0.6026295065879822,46120.0,1.6593943526958763,21.682567215958368
