mode_display,mode,dlg_metric_name,dlg_metric_value,dlg_note,mia_auc,mia_auc_std,overhead_pct,mean_round_time_s
none,none,psnr,139.61191887575384,,0.5514333333333334,0.0174964068303145,0.0,0.5194112658500671
mask,mask,psnr,27.502508346865312,,0.5441944444444445,0.0203767616762199,0.8500718648424499,0.5238266348838806
CKKS,ckks_like,psnr,,Not observable under ciphertext-only channel (CKKS),0.5163368055555556,0.0170261090059213,16.021647239730207,0.6026295065879822
