mode,w7_property_auc_mean,w7_property_auc_std,w8_attr_acc_mean,w8_attr_acc_std,w8_attr_baseline,w8_n_classes,w8_attr_f1_mean,w8_attr_f1_std,w9_fp_acc_mean,w9_fp_acc_std,w9_fp_baseline,w9_num_clients,w9_fp_f1_mean,w9_fp_f1_std
none,0.6479093333333333,,0.8277777777777778,0.0226214145238915,0.3333333333333333,3.0,0.8283415143050944,0.0221479974307662,0.3194444444444445,0.0767824457899166,0.0833333333333333,12.0,0.2915845794956075,0.0874494889655133
mask,0.6238186666666667,,0.835,0.0295334085777822,0.3333333333333333,3.0,0.8353420179778586,0.0303381958488113,0.1597222222222222,0.0524294058004913,0.0833333333333333,12.0,0.148929320092959,0.058088257881045
secagg,0.5,,0.3333333333333333,0.0,0.3333333333333333,3.0,0.3333333333333333,0.0,0.0833333333333333,0.0,0.0833333333333333,12.0,0.0833333333333333,0.0
ckks,0.5,,0.3333333333333333,0.0,0.3333333333333333,3.0,0.3333333333333333,0.0,0.0833333333333333,0.0,0.0833333333333333,12.0,0.0833333333333333,0.0
