mode,acc,time,comm,balanced,latency,bandwidth
none,0.0,0.999999987983404,0.9999999999999691,0.4999999969958433,0.6499999945925257,0.6499999975966669
mask,0.0,0.9469422816247538,0.9999999999999691,0.48673557040618076,0.626124026731133,0.6393884563249369
secagg,0.0,0.1256618919092885,0.0,0.031415472977322126,0.05654785135917983,0.025132378381857702
ckks,0.0,0.0,0.9999999999999691,0.24999999999999228,0.19999999999999385,0.44999999999998613
