mode,final_acc,mean_train_loss,mean_train_acc,conv_round_acc>=0.90,avg_client_time_s,avg_server_agg_time_s,steady_avg_round_time_s_rounds>=2,steady_avg_agg_time_s_rounds>=2,total_bytes_up,total_bytes_total
none,1.0,0.268481279688531,0.8871092754602431,12,0.5184614777565002,0.000949788093566855,0.11021316678900465,0.0008418685511538473,486800,922400
mask,1.0,0.26156429520062036,0.889263025522232,10,0.5230253100395202,0.0008013248443603149,0.10307463846708594,0.0007903073963365683,486800,922400
secagg,1.0,0.25528661040693496,0.8895092159509659,10,0.5671534180641175,0.025018726825714065,0.17829747732062087,0.025019866842972558,778880,1571680
ckks,1.0,0.24472934779160788,0.8894218581914902,10,0.582997715473175,0.01963179111480707,0.1371152150003533,0.013093634655601042,486800,922400
