mode,attack_acc_mean,attack_acc_std,macro_f1_mean,macro_f1_std
none,0.3194444444444445,0.07678244578991661,0.2915845794956075,0.08744948896551334
mask,0.15972222222222224,0.052429405800491324,0.14892932009295903,0.05808825788104506
ckks,0.08333333333333333,0.0,0.08333333333333333,0.0
