round,acc,bytes_up,bytes_down,round_time,agg_time,active_clients,seed,secure_mode,num_clients,dropout_prob,avg_train_loss,avg_train_accuracy,avg_train_time,avg_sec_time,avg_client_bytes_up
1,0.8061068654060364,24340,21780,32.132582664489746,0.5841267108917236,5,42,ckks,10,0.5,0.49598427636044756,0.785133421421051,0.1665879726409912,0.00020041465759277344,4868.0
2,0.8061068654060364,24340,21780,0.713115930557251,0.06002378463745117,5,42,ckks,10,0.5,0.4568581997212188,0.7866581916809082,0.16057734489440917,0.0004928112030029297,4868.0
3,0.8061068654060364,24340,21780,0.7169327735900879,0.06301426887512207,5,42,ckks,10,0.5,0.40742760926598665,0.8038119435310364,0.15885543823242188,0.0,4868.0
4,0.8061068654060364,24340,21780,0.7043197154998779,0.06000089645385742,5,42,ckks,10,0.5,0.38723537650011397,0.7979669570922852,0.15813894271850587,0.00021734237670898438,4868.0
5,0.8061068654060364,24340,21780,0.6892199516296387,0.059018850326538086,5,42,ckks,10,0.5,0.3866462746145159,0.7809402823448182,0.16017518043518067,0.00019860267639160156,4868.0
6,0.8061068654060364,24340,21780,0.7096042633056641,0.0727694034576416,5,42,ckks,10,0.5,0.3123838171476482,0.8392630338668823,0.15664467811584473,0.00020046234130859374,4868.0
7,0.8061068654060364,24340,21780,0.7310166358947754,0.06407880783081055,5,42,ckks,10,0.5,0.31130790398793423,0.8208386301994324,0.1630260944366455,0.0,4868.0
8,0.8061068654060364,24340,21780,0.7129089832305908,0.06401205062866211,5,42,ckks,10,0.5,0.28592657561223417,0.8189326643943786,0.16164278984069824,0.000418853759765625,4868.0
9,0.8895674347877502,24340,21780,0.7021842002868652,0.06884384155273438,5,42,ckks,10,0.5,0.24182839322612731,0.8833545088768006,0.15962886810302734,0.0,4868.0
10,0.8641221523284912,24340,21780,0.7054147720336914,0.061074018478393555,5,42,ckks,10,0.5,0.20094435992999785,0.8909784078598022,0.16208806037902831,0.0,4868.0
11,0.9139949083328247,24340,21780,0.7029662132263184,0.05907702445983887,5,42,ckks,10,0.5,0.19277117529734875,0.9108005166053772,0.1783130645751953,0.00020222663879394532,4868.0
12,0.9513995051383972,24340,21780,0.6681044101715088,0.06299924850463867,5,42,ckks,10,0.5,0.175300593977129,0.9540025472640992,0.16360197067260743,0.00039944648742675783,4868.0
13,0.9666666388511658,24340,21780,0.41125035285949707,0.01299595832824707,5,42,ckks,10,0.5,0.15231628152890914,0.9688691258430481,0.06639761924743652,0.0,4868.0
14,0.988804042339325,24340,21780,0.1444995403289795,0.013000726699829102,5,42,ckks,10,0.5,0.15588167571809422,0.9790343046188354,0.02899937629699707,0.0,4868.0
15,0.989313006401062,24340,21780,0.14751839637756348,0.012999773025512695,5,42,ckks,10,0.5,0.13460948772378162,0.9860228657722473,0.028799772262573242,0.00020008087158203126,4868.0
16,0.9974554777145386,24340,21780,0.1535172462463379,0.014997482299804688,5,42,ckks,10,0.5,0.1206562504295397,0.9913595914840698,0.02839946746826172,0.0,4868.0
17,0.9951654076576233,24340,21780,0.17304086685180664,0.024517059326171875,5,42,ckks,10,0.5,0.10960123518332744,0.9889453649520874,0.026400995254516602,0.0,4868.0
18,0.998218834400177,24340,21780,0.29355621337890625,0.025518178939819336,5,42,ckks,10,0.5,0.1017604985384429,0.9930114269256591,0.06441645622253418,0.0,4868.0
19,0.9984732866287231,24340,21780,0.28651905059814453,0.020000696182250977,5,42,ckks,10,0.5,0.08240201003184446,0.9949173927307129,0.06520004272460937,0.0,4868.0
20,0.9987277388572693,24340,21780,0.18451762199401855,0.012996196746826172,5,42,ckks,10,0.5,0.08694323410233896,0.9919949293136596,0.03500156402587891,0.0,4868.0
